 ,Area,%Area,Slice
1,5,100,1
2,9,100,1
3,11,100,1
4,6,100,1
5,10,100,1
6,28,100,1
7,6,100,1
8,25,100,1
9,22,100,1
10,17,100,1
11,1,100,1
12,5,100,1
13,7,100,1
14,29,100,1
15,1,100,1
16,1,100,1
17,1,100,1
18,22,100,1
19,1,100,1
20,6,100,1
21,1,100,1
22,1,100,1
23,1,100,1
24,1,100,1
25,2,100,1
26,3,100,1
27,12,100,1
28,2,100,1
29,2,100,1
30,2,100,1
31,2,100,1
32,1,100,1
33,4,100,1
34,6,100,1
35,1,100,1
36,1,100,1
37,3,100,1
38,2,100,1
39,1,100,1
40,2,100,1
41,1,100,1
42,1,100,1
43,1,100,1
44,2,100,1
45,1,100,1
46,1,100,1
47,14,100,1
48,5,100,1
49,4,100,1
50,1,100,1
51,1,100,1
52,2,100,1
53,1,100,1
54,2,100,1
55,1,100,1
56,15,100,1
57,4,100,1
58,2,100,1
59,13,100,1
60,13,100,1
61,23,100,1
62,11,100,1
63,11,100,1
64,2,100,1
65,1,100,2
66,28,100,2
67,13,100,2
68,7,100,2
69,21,100,2
70,3,100,2
71,36,100,2
72,11,100,2
73,15,100,2
74,5,100,2
75,3,100,2
76,6,100,2
77,21,100,2
78,46,100,2
79,1,100,2
80,9,100,2
81,1,100,2
82,2,100,2
83,16,100,2
84,1,100,2
85,3,100,2
86,1,100,2
87,2,100,2
88,3,100,2
89,13,100,2
90,1,100,2
91,3,100,2
92,2,100,2
93,1,100,2
94,3,100,2
95,1,100,2
96,14,100,2
97,1,100,2
98,2,100,2
99,6,100,2
100,1,100,2
101,9,100,2
102,5,100,2
103,11,100,2
104,8,100,2
105,15,100,2
106,20,100,2
107,6,100,2
108,20,100,2
109,5,100,2
110,28,100,2
111,20,100,2
112,6,100,2
113,13,100,2
114,7,100,2
115,2,100,2
116,4,100,3
117,8,100,3
118,47,100,3
119,13,100,3
120,10,100,3
121,25,100,3
122,45,100,3
123,5,100,3
124,6,100,3
125,9,100,3
126,4,100,3
127,6,100,3
128,25,100,3
129,56,100,3
130,1,100,3
131,1,100,3
132,3,100,3
133,1,100,3
134,1,100,3
135,5,100,3
136,1,100,3
137,1,100,3
138,1,100,3
139,1,100,3
140,16,100,3
141,3,100,3
142,2,100,3
143,1,100,3
144,9,100,3
145,2,100,3
146,3,100,3
147,19,100,3
148,1,100,3
149,1,100,3
150,12,100,3
151,3,100,3
152,4,100,3
153,1,100,3
154,5,100,3
155,6,100,3
156,3,100,3
157,6,100,3
158,25,100,3
159,18,100,3
160,11,100,3
161,10,100,3
162,22,100,3
163,27,100,3
164,25,100,3
165,10,100,3
166,22,100,3
167,8,100,3
168,15,100,4
169,19,100,4
170,58,100,4
171,2,100,4
172,3,100,4
173,4,100,4
174,27,100,4
175,39,100,4
176,2,100,4
177,24,100,4
178,10,100,4
179,1,100,4
180,7,100,4
181,1,100,4
182,2,100,4
183,26,100,4
184,57,100,4
185,8,100,4
186,2,100,4
187,1,100,4
188,1,100,4
189,8,100,4
190,1,100,4
191,5,100,4
192,1,100,4
193,2,100,4
194,1,100,4
195,14,100,4
196,1,100,4
197,2,100,4
198,2,100,4
199,28,100,4
200,7,100,4
201,6,100,4
202,4,100,4
203,2,100,4
204,27,100,4
205,13,100,4
206,22,100,4
207,8,100,4
208,10,100,4
209,30,100,4
210,31,100,4
211,14,100,4
212,35,100,4
213,9,100,4
214,2,100,4
215,8,100,4
216,1,100,5
217,33,100,5
218,28,100,5
219,2,100,5
220,54,100,5
221,29,100,5
222,19,100,5
223,27,100,5
224,5,100,5
225,31,100,5
226,12,100,5
227,9,100,5
228,9,100,5
229,13,100,5
230,6,100,5
231,9,100,5
232,17,100,5
233,49,100,5
234,1,100,5
235,1,100,5
236,14,100,5
237,3,100,5
238,7,100,5
239,1,100,5
240,1,100,5
241,1,100,5
242,22,100,5
243,5,100,5
244,2,100,5
245,2,100,5
246,2,100,5
247,1,100,5
248,2,100,5
249,5,100,5
250,2,100,5
251,1,100,5
252,12,100,5
253,1,100,5
254,10,100,5
255,30,100,5
256,1,100,5
257,6,100,5
258,6,100,5
259,7,100,5
260,2,100,5
261,22,100,5
262,1,100,5
263,5,100,5
264,29,100,5
265,1,100,5
266,29,100,5
