 ,Area,%Area,Slice
349,3,100,11
350,56,100,11
351,1,100,11
352,1,100,11
353,28,100,11
354,14,100,11
355,9,100,11
356,1,100,11
357,1,100,11
358,53,100,11
359,1,100,11
360,24,100,11
361,13,100,11
362,7,100,11
363,24,100,11
364,18,100,11
365,2,100,11
366,1,100,11
367,1,100,12
368,1,100,12
369,3,100,12
370,2,100,12
371,1,100,12
372,17,100,12
373,15,100,12
374,9,100,12
375,23,100,12
376,3,100,12
377,26,100,12
378,1,100,12
379,5,100,12
380,31,100,12
381,2,100,12
382,15,100,12
383,18,100,12
384,6,100,12
385,32,100,12
386,8,100,12
387,1,100,12
388,40,100,12
389,19,100,12
390,7,100,12
391,4,100,12
392,1,100,12
393,4,100,12
394,1,100,12
395,56,100,12
396,12,100,12
397,14,100,12
398,20,100,12
399,7,100,12
400,13,100,12
401,9,100,12
402,1,100,12
403,1,100,13
404,1,100,13
405,10,100,13
406,3,100,13
407,2,100,13
408,5,100,13
409,1,100,13
410,1,100,13
411,4,100,13
412,2,100,13
413,23,100,13
414,1,100,13
415,6,100,13
416,6,100,13
417,13,100,13
418,26,100,13
419,2,100,13
420,28,100,13
421,5,100,13
422,30,100,13
423,1,100,13
424,9,100,13
425,11,100,13
426,1,100,13
427,1,100,13
428,3,100,13
429,14,100,13
430,11,100,13
431,1,100,13
432,42,100,13
433,1,100,13
434,13,100,13
435,10,100,13
436,2,100,13
437,4,100,13
438,4,100,13
439,9,100,13
440,55,100,13
441,8,100,13
442,5,100,13
443,12,100,13
444,3,100,13
445,16,100,13
446,1,100,13
447,10,100,13
448,2,100,13
449,2,100,14
450,7,100,14
451,4,100,14
452,1,100,14
453,1,100,14
454,1,100,14
455,2,100,14
456,1,100,14
457,9,100,14
458,4,100,14
459,10,100,14
460,4,100,14
461,1,100,14
462,20,100,14
463,5,100,14
464,10,100,14
465,4,100,14
466,11,100,14
467,23,100,14
468,28,100,14
469,15,100,14
470,19,100,14
471,4,100,14
472,14,100,14
473,3,100,14
474,2,100,14
475,2,100,14
476,3,100,14
477,1,100,14
478,8,100,14
479,1,100,14
480,46,100,14
481,1,100,14
482,4,100,14
483,6,100,14
484,6,100,14
485,9,100,14
486,8,100,14
487,52,100,14
488,22,100,14
489,3,100,14
490,14,100,14
491,21,100,14
492,1,100,14
493,1,100,14
494,2,100,14
495,4,100,14
496,1,100,14
497,7,100,15
498,1,100,15
499,2,100,15
500,14,100,15
501,1,100,15
502,22,100,15
503,11,100,15
504,14,100,15
505,9,100,15
506,3,100,15
507,6,100,15
508,23,100,15
509,8,100,15
510,1,100,15
511,1,100,15
512,15,100,15
513,9,100,15
514,2,100,15
515,20,100,15
516,1,100,15
517,1,100,15
518,45,100,15
519,1,100,15
520,18,100,15
521,40,100,15
522,1,100,15
523,29,100,15
524,5,100,15
525,6,100,15
526,3,100,15
527,41,100,15
528,2,100,15
529,3,100,15
530,1,100,15
531,1,100,15
532,2,100,16
533,1,100,16
534,2,100,16
535,1,100,16
536,5,100,16
537,16,100,16
538,25,100,16
539,12,100,16
540,21,100,16
541,3,100,16
542,11,100,16
543,1,100,16
544,16,100,16
545,2,100,16
546,2,100,16
547,21,100,16
548,28,100,16
549,1,100,16
550,41,100,16
551,18,100,16
552,21,100,16
553,2,100,16
554,14,100,16
555,32,100,16
556,17,100,16
557,3,100,16
558,8,100,16
559,12,100,16
560,60,100,16
561,17,100,16
562,1,100,16
563,1,100,17
564,1,100,17
565,2,100,17
566,5,100,17
567,2,100,17
568,3,100,17
569,1,100,17
570,2,100,17
571,17,100,17
572,9,100,17
573,18,100,17
574,12,100,17
575,1,100,17
576,3,100,17
577,26,100,17
578,7,100,17
579,3,100,17
580,8,100,17
581,25,100,17
582,2,100,17
583,27,100,17
584,4,100,17
585,1,100,17
586,29,100,17
587,9,100,17
588,3,100,17
589,8,100,17
590,1,100,17
591,21,100,17
592,28,100,17
593,22,100,17
594,8,100,17
595,4,100,17
596,27,100,17
597,73,100,17
598,32,100,17
599,1,100,17
600,1,100,17
601,1,100,18
602,1,100,18
603,13,100,18
604,1,100,18
605,1,100,18
606,1,100,18
607,1,100,18
608,3,100,18
609,7,100,18
610,21,100,18
611,9,100,18
612,6,100,18
613,14,100,18
614,36,100,18
615,4,100,18
616,1,100,18
617,2,100,18
618,1,100,18
619,10,100,18
620,20,100,18
621,21,100,18
622,6,100,18
623,11,100,18
624,4,100,18
625,2,100,18
626,13,100,18
627,9,100,18
628,25,100,18
629,13,100,18
630,1,100,18
631,21,100,18
632,5,100,18
633,34,100,18
634,1,100,18
635,84,100,18
636,42,100,18
637,1,100,18
638,1,100,18
639,2,100,19
640,16,100,19
641,3,100,19
642,2,100,19
643,1,100,19
644,2,100,19
645,25,100,19
646,8,100,19
647,5,100,19
648,18,100,19
649,36,100,19
650,19,100,19
651,5,100,19
652,6,100,19
653,5,100,19
654,3,100,19
655,2,100,19
656,10,100,19
657,7,100,19
658,5,100,19
659,13,100,19
660,2,100,19
661,1,100,19
662,1,100,19
663,10,100,19
664,6,100,19
665,9,100,19
666,23,100,19
667,6,100,19
668,2,100,19
669,36,100,19
670,10,100,19
671,81,100,19
672,8,100,19
673,39,100,19
674,1,100,19
675,2,100,20
676,16,100,20
677,4,100,20
678,2,100,20
679,1,100,20
680,2,100,20
681,1,100,20
682,19,100,20
683,8,100,20
684,2,100,20
685,8,100,20
686,16,100,20
687,25,100,20
688,31,100,20
689,16,100,20
690,3,100,20
691,2,100,20
692,9,100,20
693,16,100,20
694,2,100,20
695,3,100,20
696,4,100,20
697,12,100,20
698,5,100,20
699,8,100,20
700,14,100,20
701,1,100,20
702,39,100,20
703,3,100,20
704,12,100,20
705,72,100,20
706,10,100,20
707,10,100,20
708,1,100,20
709,32,100,20
710,1,100,20
711,1,100,20
712,2,100,20
713,1,100,21
714,2,100,21
715,2,100,21
716,1,100,21
717,1,100,21
718,2,100,21
719,5,100,21
720,4,100,21
721,9,100,21
722,1,100,21
723,33,100,21
724,27,100,21
725,1,100,21
726,1,100,21
727,2,100,21
728,10,100,21
729,1,100,21
730,1,100,21
731,2,100,21
732,10,100,21
733,7,100,21
734,1,100,21
735,10,100,21
736,26,100,21
737,3,100,21
738,6,100,21
739,5,100,21
740,50,100,21
741,6,100,21
742,1,100,21
743,22,100,21
744,4,100,21
745,9,100,21
746,7,100,21
747,1,100,21
748,1,100,21
749,2,100,22
750,1,100,22
751,1,100,22
752,1,100,22
753,2,100,22
754,2,100,22
755,1,100,22
756,1,100,22
757,7,100,22
758,7,100,22
759,4,100,22
760,6,100,22
761,24,100,22
762,24,100,22
763,3,100,22
764,1,100,22
765,1,100,22
766,1,100,22
767,6,100,22
768,10,100,22
769,1,100,22
770,2,100,22
771,5,100,22
772,3,100,22
773,7,100,22
774,5,100,22
775,11,100,22
776,17,100,22
777,7,100,22
778,9,100,22
779,30,100,22
780,14,100,22
781,13,100,22
782,1,100,22
783,1,100,22
784,2,100,23
785,3,100,23
786,3,100,23
787,2,100,23
788,6,100,23
789,11,100,23
790,1,100,23
791,9,100,23
792,4,100,23
793,18,100,23
794,1,100,23
795,19,100,23
796,15,100,23
797,1,100,23
798,1,100,23
799,1,100,23
800,2,100,23
801,15,100,23
802,4,100,23
803,6,100,23
804,9,100,23
805,8,100,23
806,6,100,23
807,19,100,23
808,15,100,23
809,32,100,23
810,5,100,23
811,12,100,23
812,1,100,24
813,3,100,24
814,4,100,24
815,4,100,24
816,1,100,24
817,2,100,24
818,1,100,24
819,1,100,24
820,1,100,24
821,24,100,24
822,8,100,24
823,4,100,24
824,22,100,24
825,2,100,24
826,1,100,24
