 ,Area,%Area,Slice
1,22,100,1
2,28,100,1
3,66,100,1
4,7,100,1
5,1,100,1
6,1,100,1
7,28,100,1
8,41,100,1
9,1,100,1
10,34,100,1
11,11,100,1
12,10,100,1
13,11,100,1
14,2,100,1
15,3,100,1
16,1,100,1
17,7,100,1
18,27,100,1
19,63,100,1
20,1,100,1
21,1,100,1
22,1,100,1
23,1,100,1
24,14,100,1
25,5,100,1
26,1,100,1
27,1,100,1
28,1,100,1
29,1,100,1
30,1,100,1
31,1,100,1
32,1,100,1
33,9,100,1
34,1,100,1
35,1,100,1
36,1,100,1
37,2,100,1
38,7,100,1
39,3,100,1
40,1,100,1
41,1,100,1
42,1,100,1
43,3,100,1
44,1,100,1
45,1,100,1
46,1,100,1
47,1,100,1
48,1,100,1
49,8,100,1
50,1,100,1
51,1,100,1
52,1,100,1
53,1,100,1
54,29,100,1
55,1,100,1
56,3,100,1
57,3,100,1
58,1,100,1
59,1,100,1
60,1,100,1
61,26,100,1
62,12,100,1
63,5,100,1
64,25,100,1
65,9,100,1
66,4,100,1
67,36,100,1
68,41,100,1
69,13,100,1
70,45,100,1
71,4,100,1
72,2,100,1
73,2,100,1
74,35,100,2
75,29,100,2
76,1,100,2
77,69,100,2
78,35,100,2
79,20,100,2
80,23,100,2
81,3,100,2
82,6,100,2
83,43,100,2
84,13,100,2
85,12,100,2
86,10,100,2
87,15,100,2
88,12,100,2
89,1,100,2
90,1,100,2
91,1,100,2
92,1,100,2
93,2,100,2
94,1,100,2
95,1,100,2
96,1,100,2
97,5,100,2
98,1,100,2
99,6,100,2
100,3,100,2
101,3,100,2
102,4,100,2
103,2,100,2
104,6,100,2
105,2,100,2
106,1,100,2
107,4,100,2
108,1,100,2
109,1,100,2
110,16,100,2
111,1,100,2
112,1,100,2
113,15,100,2
114,5,100,2
115,2,100,2
116,9,100,2
117,12,100,2
118,8,100,2
119,1,100,2
120,2,100,2
121,2,100,2
122,54,100,2
123,4,100,2
124,3,100,2
125,2,100,2
126,1,100,2
127,1,100,2
128,1,100,2
129,1,100,2
130,1,100,2
131,3,100,2
132,1,100,2
133,1,100,2
134,1,100,2
135,2,100,2
136,1,100,2
137,4,100,2
138,2,100,2
139,2,100,2
140,2,100,2
141,3,100,2
142,2,100,2
143,2,100,2
144,2,100,2
145,1,100,2
146,1,100,2
147,1,100,2
148,1,100,2
149,2,100,2
150,1,100,2
151,12,100,2
152,1,100,2
153,1,100,2
154,2,100,2
155,1,100,2
156,1,100,2
157,1,100,2
158,2,100,2
159,1,100,2
160,2,100,2
161,2,100,2
162,2,100,2
163,2,100,2
164,1,100,2
165,1,100,2
166,1,100,2
167,2,100,2
168,1,100,2
169,4,100,2
170,5,100,2
171,1,100,2
172,1,100,2
173,1,100,2
174,25,100,2
175,1,100,2
176,1,100,2
177,1,100,2
178,2,100,2
179,1,100,2
180,1,100,2
181,1,100,2
182,1,100,2
183,2,100,2
184,1,100,2
185,6,100,2
186,1,100,2
187,2,100,2
188,3,100,2
189,1,100,2
190,5,100,2
191,1,100,2
192,2,100,2
193,1,100,2
194,1,100,2
195,4,100,2
196,1,100,2
197,2,100,2
198,3,100,2
199,1,100,2
200,1,100,2
201,1,100,2
202,2,100,2
203,1,100,2
204,2,100,2
205,1,100,2
206,9,100,2
207,4,100,2
208,15,100,2
209,1,100,2
210,1,100,2
211,2,100,2
212,1,100,2
213,2,100,2
214,2,100,2
215,2,100,2
216,22,100,2
217,1,100,2
218,1,100,2
219,1,100,2
220,2,100,2
221,2,100,2
222,1,100,2
223,10,100,2
224,1,100,2
225,2,100,2
226,1,100,2
227,2,100,2
228,2,100,2
229,1,100,2
230,3,100,2
231,8,100,2
232,1,100,2
233,1,100,2
234,1,100,2
235,2,100,2
236,4,100,2
237,1,100,2
238,1,100,2
239,4,100,2
240,1,100,2
241,24,100,2
242,4,100,2
243,1,100,2
244,4,100,2
245,1,100,2
246,23,100,2
247,3,100,2
248,2,100,2
249,3,100,2
250,3,100,2
251,3,100,2
252,3,100,2
253,1,100,2
254,2,100,2
255,3,100,2
256,2,100,2
257,1,100,2
258,1,100,2
259,3,100,2
260,1,100,2
261,1,100,2
262,2,100,2
263,5,100,2
264,2,100,2
265,2,100,2
266,1,100,2
267,16,100,2
268,1,100,2
269,7,100,2
270,1,100,2
271,6,100,2
272,59,100,2
273,1,100,2
274,1,100,2
275,4,100,2
276,1,100,2
277,3,100,2
278,10,100,2
279,1,100,2
280,1,100,2
281,1,100,2
282,21,100,2
283,4,100,2
284,1,100,2
285,90,100,2
286,3,100,2
287,6,100,2
288,10,100,2
289,1,100,2
290,1,100,2
291,13,100,2
292,2,100,2
293,1,100,2
294,1,100,2
295,1,100,2
296,1,100,2
297,4,100,2
298,2,100,2
299,2,100,2
300,1,100,2
301,1,100,2
302,111,100,2
303,14,100,2
304,9,100,2
305,23,100,2
306,4,100,2
307,11,100,2
308,1,100,2
309,2,100,2
310,1,100,2
311,3,100,2
312,19,100,2
313,1,100,2
314,27,100,2
315,2,100,2
316,1,100,2
317,2,100,2
318,3,100,2
319,1,100,2
320,1,100,2
321,2,100,2
322,1,100,2
323,1,100,2
324,1,100,2
325,1,100,2
326,1,100,2
327,1,100,2
328,1,100,2
329,1,100,2
330,19,100,2
331,3,100,2
332,6,100,2
333,35,100,2
334,36,100,2
335,43,100,2
336,22,100,2
337,2,100,2
338,50,100,2
339,9,100,2
340,3,100,3
341,43,100,3
342,1,100,3
343,32,100,3
344,1,100,3
345,57,100,3
346,53,100,3
347,4,100,3
348,16,100,3
349,8,100,3
350,45,100,3
351,3,100,3
352,13,100,3
353,8,100,3
354,30,100,3
355,1,100,3
356,1,100,3
357,1,100,3
358,1,100,3
359,3,100,3
360,5,100,3
361,6,100,3
362,1,100,3
363,15,100,3
364,17,100,3
365,7,100,3
366,1,100,3
367,13,100,3
368,12470,100,3
369,2,100,3
370,4,100,3
371,2,100,3
372,1,100,3
373,1,100,3
374,5,100,3
375,1,100,3
376,1,100,3
377,15,100,3
378,1,100,3
379,2,100,3
380,36,100,3
381,1,100,3
382,1,100,3
383,1,100,3
384,6,100,3
385,1,100,3
386,1,100,3
387,1,100,3
388,1,100,3
389,1,100,3
390,1,100,3
391,1,100,3
392,3,100,3
393,1,100,3
394,4,100,3
395,2,100,3
396,4,100,3
397,4,100,3
398,38,100,3
399,1,100,3
400,6,100,3
401,12,100,3
402,1,100,3
403,3,100,3
404,3,100,3
405,1,100,3
406,2,100,3
407,1,100,3
408,6,100,3
409,1,100,3
410,1,100,3
411,2,100,3
412,1,100,3
413,9,100,3
414,3,100,3
415,1,100,3
416,1,100,3
417,1,100,3
418,1,100,3
419,6,100,3
420,1,100,3
421,1,100,3
422,4,100,3
423,2,100,3
424,4,100,3
425,1,100,3
426,1,100,3
427,1,100,3
428,6,100,3
429,1,100,3
430,1,100,3
431,20,100,3
432,1,100,3
433,2,100,3
434,1,100,3
435,2,100,3
436,2,100,3
437,14,100,3
438,1,100,3
439,1,100,3
440,2,100,3
441,1,100,3
442,1,100,3
443,3,100,3
444,5,100,3
445,4,100,3
446,1,100,3
447,1,100,3
448,5,100,3
449,3,100,3
450,1,100,3
451,1,100,3
452,1,100,3
453,3,100,3
454,3,100,3
455,8,100,3
456,1,100,3
457,1,100,3
458,2,100,3
459,3,100,3
460,2,100,3
461,5,100,3
462,2,100,3
463,37,100,3
464,26,100,3
465,32,100,3
466,45,100,3
467,44,100,3
468,1,100,3
469,7,100,3
470,5,100,3
471,7,100,3
472,36,100,4
473,2,100,4
474,32,100,4
475,41,100,4
476,65,100,4
477,21,100,4
478,1,100,4
479,49,100,4
480,5,100,4
481,35,100,4
482,2,100,4
483,2,100,4
484,1,100,4
485,1,100,4
486,2,100,4
487,2,100,4
488,4,100,4
489,6,100,4
490,1,100,4
491,1,100,4
492,2,100,4
493,1,100,4
494,1,100,4
495,2,100,4
496,6,100,4
497,21,100,4
498,1,100,4
499,2,100,4
500,4,100,4
501,1,100,4
502,1,100,4
503,1,100,4
504,6,100,4
505,1,100,4
506,11,100,4
507,2,100,4
508,1,100,4
509,5,100,4
510,27,100,4
511,13361,100,4
512,1,100,4
513,1,100,4
514,7,100,4
515,1,100,4
516,1,100,4
517,1,100,4
518,1,100,4
519,12,100,4
520,2,100,4
521,2,100,4
522,2,100,4
523,1,100,4
524,1,100,4
525,8,100,4
526,1,100,4
527,1,100,4
528,1,100,4
529,2,100,4
530,6,100,4
531,1,100,4
532,1,100,4
533,2,100,4
534,12,100,4
535,28,100,4
536,19,100,4
537,7,100,4
538,2,100,4
539,44,100,4
540,280,100,4
541,10,100,4
542,1,100,4
543,44,100,4
544,2,100,4
545,4,100,4
546,2,100,4
547,1,100,4
548,2,100,4
549,9,100,4
550,1,100,4
551,2,100,4
552,8,100,4
553,1,100,4
554,18,100,4
555,1,100,4
556,4,100,4
557,2,100,4
558,2,100,4
559,7,100,4
560,4,100,4
561,43,100,4
562,2,100,4
563,1,100,4
564,3,100,4
565,10,100,4
566,1,100,4
567,8,100,4
568,1,100,4
569,1,100,4
570,1,100,4
571,1,100,4
572,10,100,4
573,1,100,4
574,1,100,4
575,7,100,4
576,1,100,4
577,1,100,4
578,1,100,4
579,1,100,4
580,1,100,4
581,2,100,4
582,9,100,4
