Volume (micrometer^3),Surface (micrometer^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micrometer),SD dist. to surf. (micrometer),Median dist. to surf. (micrometer),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
165,0,165,0,0,0,0,0,0,0,367.685,421.133,16.673,0,0,0,0,0,0,0,0,0,0,0,0
105,0,105,0,0,0,0,0,0,0,670.181,519.267,16.010,0,0,0,0,0,0,0,0,0,0,0,0
17,0,17,0,0,0,0,0,0,0,418.118,885.529,14.882,0,0,0,0,0,0,0,0,0,0,0,0
32,0,32,0,0,0,0,0,0,0,654.156,974.688,15.406,0,0,0,0,0,0,0,0,0,0,0,0
89,0,89,0,0,0,0,0,0,0,912.438,1126.303,16.146,0,0,0,0,0,0,0,0,0,0,0,0
80,0,80,0,0,0,0,0,0,0,958.375,938.713,17.100,0,0,0,0,0,0,0,0,0,0,0,0
392,0,392,0,0,0,0,0,0,0,588.916,295.204,20.245,0,0,0,0,0,0,0,0,0,0,0,0
73,0,73,0,0,0,0,0,0,0,1087.068,483.603,17.699,0,0,0,0,0,0,0,0,0,0,0,0
22,0,22,0,0,0,0,0,0,0,1165.318,695.727,16.909,0,0,0,0,0,0,0,0,0,0,0,0
183,0,183,0,0,0,0,0,0,0,779.060,1224.683,19.481,0,0,0,0,0,0,0,0,0,0,0,0
16,0,16,0,0,0,0,0,0,0,694.125,375.438,17.625,0,0,0,0,0,0,0,0,0,0,0,0
73,0,73,0,0,0,0,0,0,0,853.082,615.027,18.959,0,0,0,0,0,0,0,0,0,0,0,0
14,0,14,0,0,0,0,0,0,0,785.857,709.857,17.357,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,0,0,0,0,0,0,794.091,719.455,17.455,0,0,0,0,0,0,0,0,0,0,0,0
29,0,29,0,0,0,0,0,0,0,795.345,732.138,17.414,0,0,0,0,0,0,0,0,0,0,0,0
12,0,12,0,0,0,0,0,0,0,718.583,732.917,17.417,0,0,0,0,0,0,0,0,0,0,0,0
10,0,10,0,0,0,0,0,0,0,801.900,738.400,18.000,0,0,0,0,0,0,0,0,0,0,0,0
18,0,18,0,0,0,0,0,0,0,791.222,767.278,17.444,0,0,0,0,0,0,0,0,0,0,0,0
14,0,14,0,0,0,0,0,0,0,771.357,788.929,17.500,0,0,0,0,0,0,0,0,0,0,0,0
