Volume (micrometer^3),Surface (micrometer^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micrometer),SD dist. to surf. (micrometer),Median dist. to surf. (micrometer),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
374,0,374,0,0,0,0,0,0,0,716.989,470.291,5.639,0,0,0,0,0,0,0,0,0,0,0,0
51,0,51,0,0,0,0,0,0,0,918.569,514.255,2.333,0,0,0,0,0,0,0,0,0,0,0,0
10,0,10,0,0,0,0,0,0,0,450.500,547.200,1.400,0,0,0,0,0,0,0,0,0,0,0,0
126,0,126,0,0,0,0,0,0,0,973.667,560.810,4.833,0,0,0,0,0,0,0,0,0,0,0,0
140,0,140,0,0,0,0,0,0,0,982.400,607.771,2.729,0,0,0,0,0,0,0,0,0,0,0,0
1088,0,1088,0,0,0,0,0,0,0,820.393,615.571,4.830,0,0,0,0,0,0,0,0,0,0,0,0
73,0,73,0,0,0,0,0,0,0,726.178,622.699,1.726,0,0,0,0,0,0,0,0,0,0,0,0
99,0,99,0,0,0,0,0,0,0,399.323,629.081,3.273,0,0,0,0,0,0,0,0,0,0,0,0
42,0,42,0,0,0,0,0,0,0,638.190,631.810,1.571,0,0,0,0,0,0,0,0,0,0,0,0
64,0,64,0,0,0,0,0,0,0,976.766,685.875,2.562,0,0,0,0,0,0,0,0,0,0,0,0
14,0,14,0,0,0,0,0,0,0,954.571,706.786,1.143,0,0,0,0,0,0,0,0,0,0,0,0
445,0,445,0,0,0,0,0,0,0,660.548,712.265,3.742,0,0,0,0,0,0,0,0,0,0,0,0
90,0,90,0,0,0,0,0,0,0,346.667,720.500,2.633,0,0,0,0,0,0,0,0,0,0,0,0
835,0,835,0,0,0,0,0,0,0,994.655,733.262,9.216,0,0,0,0,0,0,0,0,0,0,0,0
55,0,55,0,0,0,0,0,0,0,382.182,738.182,2.109,0,0,0,0,0,0,0,0,0,0,0,0
140,0,140,0,0,0,0,0,0,0,325.900,741.593,3.221,0,0,0,0,0,0,0,0,0,0,0,0
205,0,205,0,0,0,0,0,0,0,674.088,742.307,2.376,0,0,0,0,0,0,0,0,0,0,0,0
751,0,751,0,0,0,0,0,0,0,527.478,758.542,5.760,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,0,0,0,0,0,0,840.455,755.091,1.727,0,0,0,0,0,0,0,0,0,0,0,0
5824,0,5824,0,0,0,0,0,0,0,604.501,761.195,12.744,0,0,0,0,0,0,0,0,0,0,0,0
543,0,543,0,0,0,0,0,0,0,547.849,761.751,5.952,0,0,0,0,0,0,0,0,0,0,0,0
580,0,580,0,0,0,0,0,0,0,677.655,770.274,3.650,0,0,0,0,0,0,0,0,0,0,0,0
372,0,372,0,0,0,0,0,0,0,626.831,787.645,3.489,0,0,0,0,0,0,0,0,0,0,0,0
38,0,38,0,0,0,0,0,0,0,856.237,793.816,1.263,0,0,0,0,0,0,0,0,0,0,0,0
