 ,Area,%Area,Slice
1,1668473,100,1
2,1660930,100,2
3,1653311,100,3
4,1645192,100,4
5,1636950,100,5
6,1628689,100,6
7,1621119,100,7
8,1613980,100,8
9,1607539,100,9
10,1600710,100,10
11,1593313,100,11
12,1585036,100,12
13,1576724,100,13
14,1568723,100,14
15,1561064,100,15
16,1553712,100,16
17,1546382,100,17
18,1538959,100,18
19,1531375,100,19
20,1524046,100,20
21,1516945,100,21
22,1509986,100,22
23,1503373,100,23
24,1497248,100,24
25,1491341,100,25
26,1485985,100,26
27,1480996,100,27
28,1476355,100,28
29,1471902,100,29
30,1467673,100,30
31,1463591,100,31
32,1459601,100,32
33,1455618,100,33
34,1451542,100,34
35,1447764,100,35
36,1444162,100,36
37,1440656,100,37
38,1437217,100,38
39,1433897,100,39
40,1430508,100,40
41,1427186,100,41
42,1424053,100,42
43,1420959,100,43
44,1418110,100,44
45,1415194,100,45
46,1412352,100,46
47,1409486,100,47
48,1406541,100,48
49,1403571,100,49
50,1400454,100,50
51,1397376,100,51
52,1394314,100,52
53,1391198,100,53
54,1387857,100,54
55,1384408,100,55
56,1380796,100,56
57,1377058,100,57
58,1373181,100,58
59,1369196,100,59
60,1365176,100,60
61,1361227,100,61
62,1357307,100,62
63,1353384,100,63
64,1349504,100,64
65,1345549,100,65
66,1341635,100,66
67,1337776,100,67
68,1334007,100,68
69,1330208,100,69
70,1326503,100,70
71,1322892,100,71
72,1319348,100,72
73,1315860,100,73
74,1312380,100,74
75,1308988,100,75
76,1305684,100,76
77,1302393,100,77
78,1299128,100,78
79,1295771,100,79
80,1292301,100,80
81,1289030,100,81
82,1285731,100,82
83,1282483,100,83
84,1279189,100,84
85,1275829,100,85
86,1272287,100,86
87,1268609,100,87
88,1264756,100,88
89,1260829,100,89
90,1256859,100,90
91,1252878,100,91
92,1248916,100,92
93,1244780,100,93
94,1240634,100,94
95,1236516,100,95
96,1232384,100,96
97,1228292,100,97
98,1224062,100,98
99,1219689,100,99
100,1215320,100,100
101,1210928,100,101
102,1206537,100,102
103,1202233,100,103
104,1197951,100,104
105,1193576,100,105
106,1189128,100,106
107,1184664,100,107
108,1180014,100,108
109,1175430,100,109
110,1170685,100,110
111,1166047,100,111
112,1161527,100,112
113,1157011,100,113
114,1152542,100,114
115,1147994,100,115
116,1143394,100,116
117,1138862,100,117
118,1134288,100,118
119,1129728,100,119
120,1125171,100,120
121,1120724,100,121
122,1116236,100,122
123,1111726,100,123
124,1107193,100,124
125,1102703,100,125
126,1098046,100,126
127,1093410,100,127
128,1088828,100,128
129,1084207,100,129
130,1079537,100,130
131,1074949,100,131
132,1070217,100,132
133,1065721,100,133
134,1061252,100,134
135,1056816,100,135
136,1052256,100,136
137,1047703,100,137
138,1043263,100,138
139,1038953,100,139
140,1034934,100,140
141,1031112,100,141
142,1027460,100,142
143,1023903,100,143
144,1020302,100,144
145,1016767,100,145
146,1013228,100,146
147,1009838,100,147
148,1006589,100,148
149,1003540,100,149
150,1000621,100,150
151,997648,100,151
152,994604,100,152
153,991754,100,153
154,988844,100,154
155,985889,100,155
156,982952,100,156
157,980008,100,157
158,976990,100,158
159,973980,100,159
160,970962,100,160
161,967887,100,161
162,964904,100,162
163,961966,100,163
164,958995,100,164
165,956100,100,165
166,953312,100,166
167,950566,100,167
168,947895,100,168
169,945264,100,169
170,942672,100,170
171,940079,100,171
172,937449,100,172
173,934817,100,173
174,932080,100,174
175,929278,100,175
176,926439,100,176
177,923673,100,177
178,920878,100,178
179,917927,100,179
180,914948,100,180
181,911814,100,181
182,908738,100,182
183,905651,100,183
184,902558,100,184
185,899337,100,185
186,896107,100,186
187,892884,100,187
188,889713,100,188
189,886610,100,189
190,883604,100,190
191,880675,100,191
192,877777,100,192
193,874828,100,193
194,871888,100,194
195,868958,100,195
196,866029,100,196
197,863091,100,197
198,860168,100,198
199,857296,100,199
200,854325,100,200
201,851328,100,201
202,848301,100,202
203,845328,100,203
204,842353,100,204
205,839436,100,205
206,836469,100,206
207,833456,100,207
208,830363,100,208
209,827287,100,209
210,824317,100,210
211,821365,100,211
212,818427,100,212
213,815467,100,213
214,812483,100,214
215,809518,100,215
216,806510,100,216
217,803610,100,217
218,800720,100,218
219,797831,100,219
220,794847,100,220
221,791934,100,221
222,789071,100,222
223,786301,100,223
224,783511,100,224
225,780769,100,225
226,778012,100,226
227,775295,100,227
228,772572,100,228
229,769996,100,229
230,767379,100,230
231,764926,100,231
232,762569,100,232
233,760369,100,233
234,758068,100,234
235,755792,100,235
236,753491,100,236
237,751271,100,237
238,749123,100,238
239,747070,100,239
240,745052,100,240
241,743039,100,241
242,740988,100,242
243,738932,100,243
244,736843,100,244
245,734824,100,245
246,732859,100,246
247,730919,100,247
248,728972,100,248
249,727112,100,249
250,725250,100,250
251,723429,100,251
252,721691,100,252
253,719986,100,253
254,718237,100,254
255,716496,100,255
256,714767,100,256
257,712944,100,257
258,711183,100,258
259,709492,100,259
260,707717,100,260
261,706046,100,261
262,704334,100,262
263,702658,100,263
264,700911,100,264
265,699192,100,265
266,697497,100,266
267,695841,100,267
268,694119,100,268
269,692537,100,269
270,690863,100,270
271,689180,100,271
272,687391,100,272
273,685587,100,273
274,683791,100,274
275,682054,100,275
276,680358,100,276
277,678708,100,277
278,677028,100,278
279,675346,100,279
280,673716,100,280
281,671982,100,281
282,670361,100,282
283,668623,100,283
284,666926,100,284
285,665264,100,285
286,663607,100,286
287,661930,100,287
288,660222,100,288
289,658533,100,289
290,656862,100,290
291,655203,100,291
292,653583,100,292
293,652014,100,293
294,650441,100,294
295,648833,100,295
296,647140,100,296
297,645474,100,297
298,643737,100,298
299,642138,100,299
300,640610,100,300
301,639059,100,301
302,637490,100,302
303,635896,100,303
304,634285,100,304
305,632694,100,305
306,631151,100,306
307,629614,100,307
308,628075,100,308
309,626570,100,309
310,625062,100,310
311,623558,100,311
312,622053,100,312
313,620551,100,313
314,619028,100,314
315,617587,100,315
316,616140,100,316
317,614622,100,317
318,613148,100,318
319,611663,100,319
320,610186,100,320
321,608712,100,321
322,607211,100,322
323,605717,100,323
324,604183,100,324
325,602706,100,325
326,601107,100,326
327,599627,100,327
328,598020,100,328
329,596621,100,329
330,595069,100,330
331,593576,100,331
332,592009,100,332
333,590456,100,333
334,588901,100,334
335,587350,100,335
336,585849,100,336
337,584349,100,337
338,582880,100,338
339,581369,100,339
340,579828,100,340
341,578337,100,341
342,576863,100,342
343,575410,100,343
344,573962,100,344
345,572524,100,345
346,571088,100,346
347,569604,100,347
348,568165,100,348
349,566683,100,349
350,565291,100,350
351,563916,100,351
352,562524,100,352
353,561130,100,353
354,559754,100,354
355,558421,100,355
356,557025,100,356
357,555638,100,357
358,554260,100,358
359,552890,100,359
360,551589,100,360
361,550260,100,361
362,548949,100,362
363,547664,100,363
364,546425,100,364
365,545149,100,365
366,543880,100,366
367,542600,100,367
368,541342,100,368
369,540065,100,369
370,538858,100,370
371,537653,100,371
372,536461,100,372
373,535270,100,373
374,534033,100,374
375,532809,100,375
376,531621,100,376
377,530522,100,377
378,529425,100,378
379,528333,100,379
380,527236,100,380
381,526122,100,381
382,525003,100,382
383,523958,100,383
384,522972,100,384
385,521979,100,385
386,521053,100,386
387,520102,100,387
388,519134,100,388
389,518153,100,389
390,517223,100,390
391,516326,100,391
392,515341,100,392
393,514510,100,393
394,513671,100,394
395,512825,100,395
396,512002,100,396
397,511197,100,397
398,510313,100,398
399,509449,100,399
400,508627,100,400
401,507806,100,401
402,507032,100,402
403,506229,100,403
404,505473,100,404
405,504747,100,405
406,503960,100,406
407,503228,100,407
408,502467,100,408
409,501731,100,409
410,501026,100,410
411,500339,100,411
412,499591,100,412
413,498872,100,413
414,498135,100,414
415,497478,100,415
416,496800,100,416
417,496162,100,417
418,495530,100,418
419,494873,100,419
420,494205,100,420
421,493601,100,421
422,492982,100,422
423,492399,100,423
424,491780,100,424
425,491158,100,425
426,490571,100,426
427,490018,100,427
428,489387,100,428
429,488802,100,429
430,488213,100,430
431,487605,100,431
432,487021,100,432
433,486401,100,433
434,485794,100,434
435,485224,100,435
436,484670,100,436
437,484135,100,437
438,483600,100,438
439,483046,100,439
440,482467,100,440
441,482018,100,441
442,481536,100,442
443,481059,100,443
444,480530,100,444
445,480001,100,445
446,479516,100,446
447,479017,100,447
448,478550,100,448
449,478039,100,449
450,477557,100,450
451,477068,100,451
452,476608,100,452
453,476134,100,453
454,475701,100,454
455,475241,100,455
456,474812,100,456
457,474433,100,457
458,474072,100,458
459,473722,100,459
460,473353,100,460
461,473000,100,461
462,472668,100,462
463,472378,100,463
464,472046,100,464
465,471753,100,465
466,471525,100,466
467,471093,100,467
468,470888,100,468
469,470592,100,469
470,470287,100,470
471,470022,100,471
472,469764,100,472
473,469474,100,473
474,469197,100,474
475,468953,100,475
476,468736,100,476
477,468479,100,477
478,468265,100,478
479,467999,100,479
480,467813,100,480
481,467614,100,481
482,467400,100,482
483,467217,100,483
484,466965,100,484
485,466820,100,485
486,466723,100,486
487,466624,100,487
488,466500,100,488
489,466349,100,489
490,466245,100,490
491,466237,100,491
492,466205,100,492
493,466216,100,493
494,466271,100,494
495,466316,100,495
496,466381,100,496
497,466447,100,497
498,466524,100,498
499,466656,100,499
500,466781,100,500
501,466959,100,501
502,467185,100,502
503,467404,100,503
504,467735,100,504
505,467993,100,505
506,468335,100,506
507,468673,100,507
508,469073,100,508
509,469481,100,509
510,469947,100,510
511,470374,100,511
512,470793,100,512
513,471172,100,513
514,471625,100,514
515,472078,100,515
516,472537,100,516
517,473077,100,517
518,473634,100,518
519,474138,100,519
520,474672,100,520
521,475243,100,521
522,475781,100,522
523,476399,100,523
524,477000,100,524
525,477628,100,525
526,478322,100,526
527,478982,100,527
528,479737,100,528
529,480531,100,529
530,481327,100,530
531,482169,100,531
532,483063,100,532
533,483911,100,533
534,484827,100,534
535,485679,100,535
536,486550,100,536
537,487421,100,537
538,488281,100,538
539,489124,100,539
540,489963,100,540
541,490849,100,541
542,491814,100,542
543,492786,100,543
544,493729,100,544
545,494646,100,545
546,495578,100,546
547,496503,100,547
548,497531,100,548
549,498602,100,549
550,499640,100,550
551,500693,100,551
552,501704,100,552
553,502767,100,553
554,503810,100,554
555,504858,100,555
556,505935,100,556
557,506917,100,557
558,507964,100,558
559,509042,100,559
560,510130,100,560
561,511274,100,561
562,512384,100,562
563,513564,100,563
564,514713,100,564
565,515879,100,565
566,517001,100,566
567,518159,100,567
568,519373,100,568
569,520569,100,569
570,521824,100,570
571,523076,100,571
572,524305,100,572
573,525611,100,573
574,526830,100,574
575,528163,100,575
576,529407,100,576
577,530663,100,577
578,531905,100,578
579,533126,100,579
580,534382,100,580
581,535686,100,581
582,536979,100,582
583,538227,100,583
584,539539,100,584
585,540791,100,585
586,542077,100,586
587,543401,100,587
588,544780,100,588
589,546103,100,589
590,547450,100,590
591,548730,100,591
592,550101,100,592
593,551446,100,593
594,552884,100,594
