Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
10,obj11-val11,11,0,1414.5037037037036,721.837037037037,2.8296296296296295,1414.5037037037036,721.837037037037,2.8296296296296295,1411,718,0,1417,725,5,336.0,0.4017857142857143,135.0,135,208.0,208.0,134.65633333333335,0.22904979402179543,0.6118479583712422,0.8441887433342032,0.945104546288073,0.22904979402179543,0.6118479583712422,0.9231669860451026,3.8462934508805047,1.2160198316771342,1.0892325630295958,147.98370711726506,0.9122625904554714,1.7186462276941243,4.201195205208085,2.8301054965109707,0.5190992210225394,
11,obj12-val12,12,0,702.7142857142857,746.0,0.0,702.7142857142857,746.0,0.0,702,745,0,704,747,0,9.0,0.7777777777777778,7.0,7,26.0,26.0,17.340899999999998,0.31530322262928967,0.6806277266928752,1.0627559671458633,1.0204957116141993,0.31530322262928967,0.6806277266928752,0.7982372630346262,1.6903085094570331,1.0801234497346435,NaN,NaN,NaN,0.28571428571433444,1.2857142857143344,0.9747932716866617,0.35986524581948875,
12,obj13-val13,13,0,1418.25,770.25,0.5,1418.25,770.25,0.5,1418,770,0,1419,771,1,8.0,0.5,4.0,4,18.0,18.0,12.0,0.310280755910103,0.6769944624659683,1.0471975511965976,1.0154912975632593,0.310280755910103,0.6769944624659683,0.6756035959798289,1.4607818031736242,1.8477590650225737,1.306562964876376,2.9270059948347966,1.366584150172116,0.6123724356957945,0.9354143466934853,0.77389339119464,0.18650833427404775,
13,obj14-val14,14,0,390.5,778.5,0.0,390.5,778.5,0.0,390,778,0,391,779,0,4.0,0.5,2.0,2,12.0,12.0,0.0,0.2617993877991494,0.6397197166716071,Infinity,Infinity,0.2617993877991494,0.6397197166716071,0.0,1.5811388300841895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
14,obj15-val15,15,0,936.25,780.875,0.625,936.25,780.875,0.625,936,780,0,937,782,1,12.0,0.6666666666666666,8.0,8,28.0,28.0,18.26213333333333,0.32972984119309784,0.690853950075027,1.188441529542361,1.0592356925184518,0.32972984119309784,0.690853950075027,0.8333333333333333,1.7890850216590537,1.5086889589691428,1.6002062903825311,6.585763488378291,1.2147414668196592,0.46770717334674267,1.3110110602126894,0.9779029624477713,0.2926837318645167,
15,obj16-val16,16,0,1126.4552845528456,785.5040650406504,0.9186991869918699,1126.4552845528456,785.5040650406504,0.9186991869918699,1123,782,0,1130,789,3,256.0,0.48046875,123.0,123,204.0,204.0,135.50876666666667,0.2015450304301512,0.5863058982655257,0.6876388710594057,0.8826465056747863,0.2015450304301512,0.5863058982655257,0.9056921777048197,4.151717078542016,1.0835499256824643,1.801671887239475,141.7092776988572,0.8679742215706172,1.1389660680390787,4.369667226646013,2.823921576434647,0.7372788860592878,
16,obj17-val17,17,0,799.0,783.5,0.0,799.0,783.5,0.0,799,783,0,799,784,0,2.0,1.0,2.0,2,10.0,10.0,6.666666666666667,0.4523893421169302,0.7676635200443077,1.526814029644639,1.1514949756065076,0.4523893421169302,0.7676635200443077,0.8078870169771784,1.118033988749895,NaN,NaN,NaN,NaN,0.5,0.5,0.5,0.0,
17,obj18-val18,18,0,796.6470588235294,800.6470588235294,0.29411764705882354,796.6470588235294,800.6470588235294,0.29411764705882354,794,798,0,799,803,1,72.0,0.4722222222222222,34.0,34,86.0,86.0,57.81133333333334,0.20554875651167953,0.5901628217717234,0.6766611616577322,0.8779243269522614,0.20554875651167953,0.5901628217717234,0.836704423360361,2.98169307090408,1.0844498873237698,2.7644499176884176,34.15463857109271,0.9954723991363331,0.5793445765762659,2.987285629551667,1.759507614959018,0.6355326015708209,
18,obj19-val19,19,0,980.4166666666666,869.1666666666666,1.75,980.4166666666666,869.1666666666666,1.75,980,868,0,981,870,3,24.0,0.5,12.0,12,42.0,42.0,26.359166666666663,0.21981989412873187,0.6035165963397517,0.8892417347255469,0.9616269196472782,0.21981989412873187,0.6035165963397517,0.7398072452092597,2.4150353828285884,1.7943892398971184,1.3218044307578292,13.863042866250975,0.8656108269861533,0.5137011669140383,1.8521758975744143,1.2489051606689092,0.4386098006188649,
19,obj20-val20,20,0,1134.8333333333333,917.75,0.9166666666666666,1134.8333333333333,917.75,0.9166666666666666,1134,917,0,1136,919,2,27.0,0.4444444444444444,12.0,12,40.0,40.0,26.269699999999997,0.25446900494077324,0.6336923952387825,0.8983581787953614,0.9649019305944064,0.25446900494077324,0.6336923952387825,0.7891277282232103,1.5811388300841898,1.0816166780708947,1.1765968987137185,12.028851160889172,0.9976015032106326,0.772801541291325,1.3894443333778193,1.1416862497919562,0.19954665833003973,
20,obj21-val21,21,0,1166.1583333333333,973.6083333333333,0.6166666666666667,1166.1583333333333,973.6083333333333,0.6166666666666667,1160,971,0,1173,976,2,252.0,0.47619047619047616,120.0,120,224.0,224.0,152.4769,0.14490080911806055,0.5252393031793181,0.45941239069251394,0.7716154260403172,0.14490080911806055,0.5252393031793181,0.8640706248477292,7.187175361037798,2.447226857035033,1.8541330882220652,140.04704439010823,0.8568549270181943,0.7474958193862883,7.008952608390717,3.3913716526030098,1.4780797966160004,
21,obj22-val22,22,0,444.0,1031.7272727272727,0.5454545454545454,444.0,1031.7272727272727,0.5454545454545454,443,1031,0,445,1033,1,18.0,0.6111111111111112,11.0,11,36.0,36.0,22.586499999999997,0.2933122770712693,0.6644213685063108,1.18765671875915,1.0590024787876118,0.2933122770712693,0.6644213685063108,0.8259121606280916,1.6917037672584259,1.201391762683688,1.3921292451264995,10.092823548598773,1.0898833163022228,0.5300865358950166,1.3514607952107844,1.0484681640467388,0.2858234608768105,
22,obj23-val23,23,0,1165.1666666666667,1036.9333333333334,0.36666666666666664,1165.1666666666667,1036.9333333333334,0.36666666666666664,1163,1035,0,1167,1039,1,50.0,0.6,30.0,30,72.0,72.0,47.62636666666666,0.27270769562411395,0.6484840807338118,0.9422204572701602,0.9803568245497971,0.27270769562411395,0.6484840807338118,0.8847336486622791,2.756929603414391,1.1834302816521465,2.1829045220071657,28.71081509824297,1.0449024138585297,0.40824829046388406,2.4426761280748757,1.5991471046718693,0.5343980219025483,
23,obj24-val24,24,0,1187.2222222222222,1058.111111111111,0.1111111111111111,1187.2222222222222,1058.111111111111,0.1111111111111111,1186,1057,0,1188,1059,1,18.0,0.5,9.0,9,32.0,32.0,21.348466666666663,0.2795679985921581,0.653876913014935,0.9415368653903149,0.9801196804379367,0.2795679985921581,0.653876913014935,0.7846072123783121,1.910875206067422,1.2818540571857022,2.2930502472809073,7.757018518518516,1.1602395918630444,0.2721655269758571,1.5153535218872913,1.0675903237231772,0.3666727832085283,
24,obj25-val25,25,0,654.5714285714286,1089.5714285714287,0.42857142857142855,654.5714285714286,1089.5714285714287,0.42857142857142855,654,1089,0,655,1090,1,8.0,0.875,7.0,7,24.0,24.0,14.351600000000001,0.40088031256744755,0.7373466448980571,1.874767814845471,1.233055135701292,0.40088031256744755,0.7373466448980571,0.8980169209139542,1.1952286093343938,1.0,1.3228756555322951,5.406578383729269,1.2947190446856416,0.7423074889580433,0.9147320339190469,0.8550689963171633,0.06436384028481514,
25,obj26-val26,26,0,1164.484126984127,1219.984126984127,1.4523809523809523,1164.484126984127,1219.984126984127,1.4523809523809523,1161,1217,0,1168,1224,4,320.0,0.39375,126.0,126,198.0,198.0,126.84323333333333,0.23131185578647612,0.6138555351470683,0.8798153842662039,0.9582169537338969,0.23131185578647612,0.6138555351470683,0.9220076338495671,4.128851690392912,1.2791786855099991,1.263267582446504,142.63255353039278,0.8833887978676015,1.5310262310724136,4.940398099720694,2.7948700047309143,0.6531061559679177,
26,obj27-val27,27,0,691.5,72.0,1.0,691.5,72.0,1.0,691,72,1,692,72,1,2.0,1.0,2.0,2,10.0,10.0,6.666666666666667,0.4523893421169302,0.7676635200443077,1.526814029644639,1.1514949756065076,0.4523893421169302,0.7676635200443077,0.8078870169771784,1.118033988749895,NaN,NaN,NaN,NaN,0.5,0.5,0.5,0.0,
27,obj28-val28,28,0,623.0,82.0,1.0,623.0,82.0,1.0,623,82,1,623,82,1,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
28,obj29-val29,29,0,586.4137931034483,685.3103448275862,2.206896551724138,586.4137931034483,685.3103448275862,2.206896551724138,585,684,1,588,687,3,48.0,0.6041666666666666,29.0,29,68.0,68.0,41.727533333333334,0.30249738951533106,0.6712856809981498,1.3091223307699318,1.0939397675379696,0.30249738951533106,0.6712856809981498,0.9031636772016193,2.281558172915254,1.1697179273242881,1.2671928379295039,28.693149802304806,1.010694197040387,0.9468641529479761,2.084425001338913,1.5684453605964046,0.2996283242329404,
29,obj30-val30,30,0,988.0,689.0,1.0,988.0,689.0,1.0,988,689,1,988,689,1,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
30,obj31-val31,31,0,1390.211875843455,762.0161943319838,6.394062078272604,1390.211875843455,762.0161943319838,6.394062078272604,1384,757,1,1395,767,12,1584.0,0.4678030303030303,741.0,741,620.0,620.0,390.5596666666667,0.2605635850161397,0.638711547998906,1.042381308437012,1.0139320980343713,0.2605635850161397,0.638711547998906,0.9674610452050824,6.23084598549835,1.124147524044315,1.056133059365551,759.2143072216188,0.9760090042450926,3.9058634365833247,6.8125593477599375,5.260024862794694,0.4620376891651635,
31,obj32-val32,32,0,850.0,860.0,1.0,850.0,860.0,1.0,850,860,1,850,860,1,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
32,obj33-val33,33,0,1461.0,911.0,1.0,1461.0,911.0,1.0,1461,911,1,1461,911,1,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
33,obj34-val34,34,0,294.85714285714283,1067.142857142857,1.1428571428571428,294.85714285714283,1067.142857142857,1.1428571428571428,294,1066,1,296,1068,2,18.0,0.3888888888888889,7.0,7,28.0,28.0,18.894,0.2524494096634655,0.6320115073376165,0.8216308177612934,0.9366102511660139,0.2524494096634655,0.6320115073376165,0.6984576051552976,1.6319359024265576,1.3653755354261143,1.5403513453507363,6.339775114441112,1.1041401112249216,0.24743582965269204,1.2205719636167958,0.9187219055319437,0.332435205089867,
34,obj35-val35,35,0,651.0,77.0,2.0,651.0,77.0,2.0,651,77,2,651,77,2,1.0,1.0,1.0,1,6.0,6.0,0.0,0.5235987755982988,0.8059961508426673,Infinity,Infinity,0.5235987755982988,0.8059961508426673,NaN,0.0,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NaN,
35,obj36-val36,36,0,307.3333333333333,436.3333333333333,2.0,307.3333333333333,436.3333333333333,2.0,307,436,2,308,437,2,4.0,0.75,3.0,3,14.0,14.0,9.333333333333334,0.370946071342235,0.7185170346115792,1.2519429907800428,1.0777751956412636,0.370946071342235,0.7185170346115792,0.7247037103732568,1.2909944487358056,1.7320508075688772,NaN,NaN,NaN,0.47140452079100487,0.7453559924999384,0.6540388352636273,0.15816595593604654,
36,obj37-val37,37,0,888.4,816.4,3.0,888.4,816.4,3.0,888,816,2,889,817,4,12.0,0.4166666666666667,5.0,5,24.0,24.0,11.5879,0.20453077171808548,0.5891869451121191,1.8170972284553768,1.2202797057449346,0.20453077171808548,0.5891869451121191,0.4816996842444781,1.7736074056791984,1.7736074056791982,1.9829533622478697,3.7465676733885345,1.3345548341524591,0.5656854249492059,1.311487704860421,0.8936612338605651,0.3189231864705288,
37,obj38-val38,38,0,1132.7450980392157,943.7581699346405,5.006535947712418,1132.7450980392157,943.7581699346405,5.006535947712418,1130,941,2,1136,947,8,343.0,0.446064139941691,153.0,153,216.0,216.0,136.743,0.2627084134512298,0.64045927695628,1.035428045771329,1.011672569584882,0.2627084134512298,0.64045927695628,0.9405617363694556,3.7978178021417626,1.0822605559600342,1.2428712093835372,157.61631766004103,0.9707116767567311,1.9026906040866691,3.82449571611633,2.9423733626162094,0.4210414089718383,
