 ,06
731,619
732,633
733,577
734,544
735,519
736,581
737,622
738,652
739,771
740,816
741,818
742,817
743,798
744,780
745,716
746,756
747,816
748,852
749,857
750,895
751,836
752,812
753,772
754,740
755,673
756,575
757,484
758,489
759,472
760,412
761,377
762,395
763,397
764,406
765,432
766,482
767,533
768,564
769,577
770,538
771,505
772,460
773,450
774,495
775,465
776,496
777,529
778,551
779,540
780,551
781,475
782,445
783,456
784,492
785,516
786,504
787,493
788,474
789,475
790,463
791,461
792,428
793,485
794,499
795,447
796,409
797,498
798,603
799,681
800,657
801,598
802,591
803,664
804,751
805,745
806,667
807,647
808,646
809,647
810,587
811,654
812,705
813,643
814,607
815,563
816,478
817,435
818,416
819,411
820,444
821,483
822,537
823,575
824,631
825,680
826,704
827,703
828,721
829,749
830,745
831,720
832,640
833,605
834,622
835,777
836,773
837,744
838,738
839,583
840,448
841,414
842,407
843,426
844,480
845,587
846,586
847,574
848,571
849,556
850,541
851,516
852,385
853,318
854,283
855,306
856,382
857,469
858,511
859,586
