 ,13
1,1496
2,13216
3,14546
4,16142
5,15817
6,15576
7,14724
8,14727
9,13076
10,11762
11,10968
12,11741
13,12516
14,13288
15,10809
16,655
17,531
18,573
19,631
20,703
21,702
22,699
23,649
24,582
25,546
26,570
27,612
28,632
29,610
30,599
31,622
32,602
33,627
34,661
35,671
36,698
37,717
38,648
39,584
40,454
41,396
42,421
43,490
44,492
45,415
46,392
47,436
48,492
49,537
50,639
51,645
52,610
53,486
54,393
55,389
56,434
57,476
58,448
59,400
60,421
61,457
62,419
63,368
64,309
65,338
66,446
67,534
68,520
69,560
70,594
71,694
72,749
73,717
74,717
75,774
76,834
77,864
78,768
79,587
80,458
81,410
82,418
83,448
84,554
85,635
86,650
87,560
88,483
89,501
90,558
91,608
92,713
93,774
94,680
95,577
96,555
97,562
98,620
99,622
100,545
101,510
102,541
103,608
104,644
105,659
106,630
107,528
108,502
109,520
110,486
111,498
112,518
113,566
114,607
115,653
116,676
117,584
118,540
119,554
120,582
121,498
122,443
123,399
124,371
125,479
126,558
127,551
128,490
129,427
130,459
131,551
132,602
133,615
134,573
135,540
136,520
137,522
138,496
139,494
140,505
141,613
142,701
143,794
144,873
145,889
146,834
147,874
148,897
149,940
150,946
151,874
152,845
153,855
154,846
155,849
156,884
157,894
158,878
159,863
160,816
161,751
162,684
163,618
164,601
165,707
166,762
167,828
168,801
169,706
170,627
171,626
172,719
173,791
174,861
175,878
176,829
177,763
178,659
179,613
180,704
181,771
182,825
183,862
184,831
185,775
186,659
187,618
188,587
189,539
190,560
191,548
192,571
193,663
194,779
195,923
196,1038
197,997
198,916
199,810
200,780
201,801
202,840
203,860
204,851
205,838
206,796
207,817
208,874
209,960
210,1076
211,1049
212,987
213,885
214,906
215,1015
216,1061
217,1112
218,1157
219,1152
220,1125
221,1048
222,1017
223,965
224,960
225,929
226,967
227,962
228,852
229,713
230,638
231,614
232,678
233,794
234,1017
235,1067
236,1067
237,1025
238,944
239,918
240,927
241,1010
242,1152
243,1265
244,1298
245,1243
246,1169
247,1207
248,1197
249,1137
250,1062
251,1022
252,1024
253,1081
254,1144
255,1209
256,1205
257,1124
258,1021
259,860
260,766
261,843
262,979
263,1067
264,1199
265,1274
266,1322
267,1243
268,1218
269,1310
270,1422
271,1531
272,1800
273,1554
274,1470
275,1308
276,1228
277,1184
278,1141
279,1096
280,1064
281,1052
282,1128
283,1183
284,1230
285,1326
286,1401
287,1441
288,1495
289,1562
290,1609
291,1643
292,1581
293,1546
294,1491
295,1416
296,1360
297,1268
298,1258
299,1267
300,1243
301,1226
302,1212
303,1154
304,1120
305,1105
306,1103
307,1220
308,1342
309,1484
310,1583
311,1697
312,1802
313,1825
314,1926
315,1991
316,2027
317,1989
318,1947
319,1843
320,1784
321,1632
322,1584
323,1527
324,1568
325,1649
326,1685
327,1710
328,1744
329,1697
330,1661
331,1603
332,1554
333,1517
334,1481
335,1386
336,1261
337,1216
338,1250
339,1300
340,1327
341,1267
342,1151
343,1026
344,979
345,1027
346,1054
347,1101
348,1203
349,1240
350,1300
351,1394
352,1422
353,1460
354,1471
355,1450
356,1360
357,1322
358,1236
359,1169
360,2451
361,2741
362,1197
363,1225
364,1272
365,1313
366,1338
367,1317
368,1327
369,1348
370,1362
371,1419
372,1489
373,1542
374,1577
375,1595
376,1691
377,1807
378,1933
379,2056
380,2032
381,1991
382,1972
383,1913
384,1876
385,1837
386,1785
387,1776
388,1796
389,1805
390,1887
391,1997
392,2022
393,2024
394,2033
395,2118
396,2211
397,2330
398,2403
399,2449
400,2457
401,2360
402,2217
403,2087
404,1988
405,1956
406,1887
407,1860
408,1907
409,1973
410,2009
411,2074
412,2087
413,2045
414,1984
415,1978
416,1977
417,2008
418,2039
419,2078
420,2178
421,2249
422,2314
423,2445
424,2580
425,2658
426,2820
427,2942
428,3019
429,3033
430,3013
431,3098
432,3195
433,3319
434,3491
435,3612
436,3767
437,3898
438,4000
439,4130
440,4202
441,4258
442,4344
443,4486
444,4656
445,4778
446,4812
447,4776
448,4772
449,4756
450,4834
451,4901
452,5049
453,5167
454,5274
455,5304
456,5304
457,5206
458,5101
459,5056
460,4873
461,4610
462,4330
463,4093
464,3903
465,3802
466,3571
467,3575
468,3654
469,3730
470,3675
471,3513
472,3332
473,3164
474,3092
475,3031
476,2985
477,3081
478,3165
479,3439
480,3620
481,3761
482,4078
483,4409
484,4764
485,5268
486,5852
487,6417
488,7015
489,7563
490,8152
491,8645
492,9040
493,9234
494,9683
495,9982
496,10506
497,10814
498,11007
499,10962
500,10703
501,10259
502,9655
503,13738
504,11832
505,7979
506,7626
507,7272
508,7006
509,6563
510,6044
511,5471
512,5168
513,5158
514,5268
515,5268
516,5056
517,4732
518,5094
519,8022
520,5989
521,4197
522,4140
523,3939
524,3719
525,3569
526,3581
527,3597
528,3600
529,3600
530,3558
531,3377
532,3243
533,3118
534,3049
535,3066
536,3226
537,3483
538,7440
539,7873
540,8300
541,8355
542,7847
543,4147
544,4270
545,4259
546,4271
547,4338
548,4409
549,4543
550,4631
551,4607
552,4601
553,4519
554,4481
555,4421
556,4333
557,4246
558,4206
559,4172
560,4166
561,4153
562,4092
563,4023
564,3870
565,3821
566,3837
567,3891
568,3944
569,4064
570,4234
571,4217
572,4200
573,4117
574,3952
575,3774
576,3554
577,3292
578,3127
579,3013
580,2901
581,2769
582,2629
583,2473
584,2415
585,2482
586,2520
587,2571
588,2623
589,2587
590,2510
591,3514
592,6764
593,3861
594,1935
595,1957
596,1971
597,2031
598,2128
599,2166
600,2076
601,2060
602,2006
603,2002
604,1992
605,1865
606,1827
607,1769
608,1704
609,1654
610,1630
611,1664
612,1692
613,1749
614,1757
615,1779
616,1712
617,1593
618,1570
619,1580
620,1556
621,1531
622,1473
623,1367
624,1273
625,1254
626,1291
627,1332
628,1357
629,1325
630,1373
631,1449
632,1458
633,1418
634,1404
635,1407
636,1427
637,1389
638,1419
639,1411
640,1475
641,1513
642,1574
643,1610
644,1684
645,1736
646,1711
647,1657
648,1645
649,1658
650,1652
651,1623
652,1599
653,1537
654,1559
655,1597
656,1638
657,1593
658,1609
659,1647
660,1676
661,1765
662,1832
663,1901
664,1860
665,1897
666,1853
667,1910
668,1939
669,1919
670,1814
671,1759
672,1716
673,1740
674,1677
675,1556
676,1456
677,1412
678,1393
679,1330
680,1258
681,1211
682,1061
683,1045
684,1054
685,1055
686,1083
687,1089
688,1098
689,1083
690,1061
691,985
692,918
693,835
694,757
695,742
696,711
697,692
698,801
699,949
700,988
701,953
702,904
703,906
704,892
705,911
706,927
707,915
708,965
709,1053
710,1142
711,1151
712,1164
713,1212
714,1276
715,1332
716,1395
717,1344
718,1301
719,1236
720,1132
721,995
722,889
723,825
724,743
725,679
726,694
727,760
728,859
729,955
730,1030
731,1087
732,1116
733,1113
734,1090
735,1079
736,1004
737,982
738,972
739,994
740,941
741,926
742,951
743,920
744,897
745,904
746,866
747,883
748,899
749,835
750,771
751,714
752,750
753,804
754,871
755,985
756,1054
757,859
758,784
759,707
760,689
761,708
762,686
763,680
764,731
765,759
766,783
767,762
768,734
769,654
770,658
771,711
772,774
773,849
774,932
775,920
776,841
777,721
778,613
779,596
780,504
781,505
782,618
783,727
784,848
785,890
786,945
787,914
788,911
789,970
790,1042
791,1084
792,1121
793,1112
794,1099
795,986
796,809
797,675
798,659
799,725
800,774
801,762
802,743
803,677
804,616
805,626
806,660
807,650
808,708
809,676
810,633
811,584
812,616
813,683
814,700
815,807
816,888
817,879
818,899
819,827
820,833
821,767
822,715
823,816
824,910
825,940
826,959
827,936
828,897
829,837
830,757
831,724
832,658
833,578
834,538
835,518
836,472
837,397
838,392
839,384
840,419
841,463
842,471
843,512
844,565
845,593
846,599
847,571
848,506
849,417
850,467
851,481
852,495
853,536
854,573
855,603
856,586
857,568
858,505
859,488
860,481
861,512
862,534
863,501
864,469
865,474
866,483
867,482
868,463
869,438
870,509
871,470
872,435
873,525
874,577
875,681
876,715
877,634
878,569
879,611
880,709
881,761
882,708
883,726
884,709
885,662
886,620
887,562
888,684
889,682
890,631
891,565
892,558
893,485
894,421
895,400
896,426
897,484
898,523
899,553
900,593
901,646
902,687
903,727
904,737
905,759
906,786
907,765
908,704
909,639
910,704
911,688
912,794
913,779
914,799
915,708
916,589
917,471
918,412
919,437
920,484
921,670
922,767
923,744
924,640
925,718
926,530
927,499
928,425
929,408
930,317
931,307
932,331
933,420
934,508
935,535
936,590
