 ,01
1,443
2,407
3,400
4,439
5,512
6,548
7,580
8,578
9,504
10,395
11,411
12,397
13,390
14,340
15,397
16,427
17,418
18,407
19,389
20,252
21,205
22,211
23,169
24,172
25,235
26,347
27,376
28,326
29,278
30,209
31,314
32,441
33,570
34,573
35,490
36,396
37,274
38,210
39,191
40,189
41,178
42,198
43,251
44,294
45,387
46,461
47,426
48,386
49,343
50,339
51,316
52,382
53,422
54,466
55,411
56,423
57,401
58,345
59,362
60,395
61,347
62,309
63,295
64,305
65,341
66,332
67,372
68,479
69,547
70,512
71,473
72,416
73,346
74,256
75,228
76,233
77,258
78,296
79,317
80,340
81,357
82,374
83,388
84,366
85,290
86,264
87,285
88,339
89,405
90,368
91,274
92,240
93,184
94,147
95,180
96,179
97,195
98,213
99,241
100,228
101,223
102,251
103,279
104,250
105,165
106,119
107,151
108,207
109,227
110,229
111,220
112,165
113,204
114,240
115,332
116,431
117,487
118,504
119,498
120,519
121,547
122,559
123,530
124,452
125,359
126,307
127,260
128,249
129,280
130,330
131,337
132,292
133,238
134,236
135,277
136,298
137,291
138,304
139,316
140,328
141,325
142,312
143,280
144,280
145,325
146,324
147,290
148,277
149,320
150,304
151,264
152,181
153,135
154,184
155,241
156,282
157,303
158,338
159,356
160,371
161,376
162,350
163,277
164,251
165,222
166,205
167,198
168,208
169,281
170,330
171,313
172,332
173,329
174,276
175,215
176,230
177,251
178,194
179,126
180,102
181,97
182,148
183,214
184,265
185,237
186,216
187,224
188,186
189,202
190,221
191,255
192,323
193,327
194,311
195,248
196,225
197,277
198,341
199,358
200,338
201,350
202,341
203,327
204,291
205,242
206,214
207,231
208,224
209,238
210,295
211,343
212,309
213,275
214,291
215,338
216,388
217,393
218,373
219,353
220,345
221,330
222,323
223,331
224,310
225,311
226,314
227,361
228,362
229,342
230,277
231,240
232,197
233,234
234,300
235,324
236,279
237,249
238,275
239,345
240,384
241,361
242,351
243,312
244,292
245,317
246,300
247,267
248,210
249,169
250,119
251,148
252,217
253,302
254,333
255,354
256,379
257,314
258,276
259,225
260,231
261,237
262,243
263,213
264,173
265,121
266,100
267,196
268,249
269,272
270,315
271,304
272,285
273,250
274,203
275,141
276,82
277,60
278,84
279,112
280,167
281,174
282,167
283,169
284,248
285,284
286,310
287,290
288,254
289,223
290,383
291,402
292,237
293,225
294,244
295,212
296,163
297,128
298,119
299,100
300,91
301,81
302,168
303,239
304,280
305,317
306,319
307,226
308,176
309,171
310,150
311,100
312,100
313,152
314,204
315,208
316,260
317,292
318,264
319,222
320,215
321,206
322,204
323,199
324,190
325,187
326,224
327,238
328,255
329,268
330,353
331,457
332,567
333,534
334,429
335,305
336,267
337,241
338,172
339,244
340,277
341,268
342,270
343,244
344,200
345,194
346,237
347,264
348,258
349,314
350,336
351,333
352,337
353,315
354,234
355,224
356,220
357,203
358,224
359,249
360,8579
361,3755
362,403
363,353
364,336
365,349
366,344
367,333
368,284
369,251
370,285
371,358
372,371
373,321
374,250
375,186
376,228
377,268
378,284
379,257
380,271
381,322
382,373
383,387
384,370
385,313
386,238
387,198
388,191
389,175
390,164
391,181
392,266
393,325
394,380
395,298
396,229
397,155
398,137
399,141
400,158
401,189
402,220
403,256
404,269
405,305
406,332
407,312
408,264
409,204
410,199
411,237
412,336
413,394
414,380
415,312
416,281
417,274
418,271
419,319
420,353
421,369
422,365
423,352
424,366
425,364
426,307
427,256
428,208
429,232
430,236
431,278
432,265
433,231
434,174
435,150
436,168
437,158
438,176
439,131
440,115
441,167
442,217
443,213
444,178
445,170
446,235
447,226
448,176
449,157
450,137
451,165
452,217
453,313
454,406
455,422
456,390
457,338
458,331
459,280
460,266
461,237
462,185
463,189
464,224
465,261
466,286
467,280
468,383
469,8017
470,8411
471,8739
472,1341
473,345
474,302
475,251
476,253
477,242
478,252
479,270
480,268
481,257
482,277
483,246
484,291
485,277
486,284
487,316
488,288
489,208
490,96
491,98
492,139
493,171
494,222
495,286
496,336
497,317
498,323
499,292
500,260
501,275
502,323
503,332
504,322
505,284
506,182
507,200
508,227
509,242
510,273
511,353
512,413
513,465
514,476
515,437
516,488
517,589
518,541
519,415
520,263
521,186
522,986
523,190
524,192
525,216
526,283
527,313
528,317
529,389
530,405
531,407
532,476
533,509
534,477
535,387
536,377
537,370
538,373
539,400
540,364
541,310
542,293
543,238
544,244
545,300
546,389
547,443
548,363
549,313
550,274
551,220
552,227
553,231
554,181
555,165
556,164
557,166
558,174
559,200
560,181
561,215
562,251
563,236
564,256
565,267
566,247
567,231
568,215
569,235
570,261
571,321
572,358
573,328
574,318
575,288
576,284
577,256
578,271
579,273
580,272
581,260
582,254
583,213
584,170
585,189
586,227
587,215
588,251
589,258
590,279
591,237
592,180
593,202
594,270
595,397
596,487
597,504
598,490
599,436
600,353
601,325
602,281
603,320
604,351
605,340
606,334
607,350
608,346
609,370
610,348
611,328
612,294
613,331
614,405
615,477
616,528
617,574
618,511
619,543
620,602
621,561
622,503
623,419
624,377
625,421
626,435
627,483
628,530
629,639
630,379
631,344
632,241
633,226
634,318
635,367
636,315
637,306
638,242
639,328
640,265
