 ,13
1,1657962
2,1650350
3,1642230
4,1634002
5,1625748
6,1618198
7,1611079
8,1604635
9,1597807
10,1590403
11,1582132
12,1573827
13,1565840
14,1558202
15,1550852
16,1543532
17,1536099
18,1528537
19,1521210
20,1514111
21,1507169
22,1500555
23,1494450
24,1488553
25,1483202
26,1478229
27,1473597
28,1469142
29,1464925
30,1460845
31,1456852
32,1452874
33,1448804
34,1445019
35,1441420
36,1437931
37,1434498
38,1431182
39,1427803
40,1424475
41,1421353
42,1418262
43,1415410
44,1412503
45,1409663
46,1406797
47,1403853
48,1400888
49,1397765
50,1394704
51,1391633
52,1388532
53,1385189
54,1381729
55,1378132
56,1374395
57,1370522
58,1366538
59,1362523
60,1358560
61,1354664
62,1350745
63,1346873
64,1342917
65,1339010
66,1335154
67,1331394
68,1327591
69,1323895
70,1320285
71,1316743
72,1313263
73,1309783
74,1306392
75,1303095
76,1299808
77,1296543
78,1293191
79,1289722
80,1286456
81,1283158
82,1279911
83,1276631
84,1273272
85,1269732
86,1266057
87,1262205
88,1258284
89,1254310
90,1250343
91,1246379
92,1242245
93,1238111
94,1233987
95,1229854
96,1225770
97,1221541
98,1217182
99,1212813
100,1208420
101,1204039
102,1199742
103,1195464
104,1191091
105,1186649
106,1182195
107,1177546
108,1172961
109,1168224
110,1163590
111,1159069
112,1154568
113,1150097
114,1145558
115,1140965
116,1136437
117,1131865
118,1127316
119,1122762
120,1118315
121,1113836
122,1109329
123,1104802
124,1100314
125,1095658
126,1091025
127,1086447
128,1081826
129,1077167
130,1072570
131,1067847
132,1063372
133,1058903
134,1054473
135,1049908
136,1045361
137,1040929
138,1036623
139,1032615
140,1028794
141,1025140
142,1021573
143,1017993
144,1014466
145,1010928
146,1007539
147,1004300
148,1001253
149,998332
150,995359
151,992336
152,989475
153,986558
154,983630
155,980694
156,977746
157,974736
158,971734
159,968719
160,965649
161,962662
162,959718
163,956757
164,953872
165,951089
166,948355
167,945682
168,943051
169,940467
170,937880
171,935247
172,932614
173,929885
174,927086
175,924250
176,921490
177,918702
178,915747
179,912769
180,909637
181,906566
182,903486
183,900386
184,897168
185,893949
186,890729
187,887560
188,884459
189,881460
190,878536
191,875642
192,872702
193,869767
194,866833
195,863906
196,860976
197,858046
198,855180
199,852216
200,849220
201,846198
202,843227
203,840252
204,837338
205,834370
206,831371
207,828277
208,825214
209,822246
210,819295
211,816358
212,813405
213,810423
214,807455
215,804445
216,801547
217,798664
218,795779
219,792797
220,789883
221,787020
222,784252
223,781474
224,778737
225,775976
226,773259
227,770535
228,767954
229,765345
230,762887
231,760542
232,758351
233,756057
234,753793
235,751489
236,749276
237,747128
238,745079
239,743060
240,741050
241,738993
242,736940
243,734859
244,732851
245,730887
246,728950
247,727010
248,725146
249,723284
250,721471
251,719731
252,718026
253,716279
254,714548
255,712815
256,710995
257,709244
258,707559
259,705778
260,704123
261,702408
262,700736
263,698987
264,697272
265,695584
266,693924
267,692197
268,690620
269,688952
270,687273
271,685483
272,683680
273,681889
274,680154
275,678460
276,676818
277,675141
278,673460
279,671831
280,670099
281,668483
282,666742
283,665052
284,663391
285,661737
286,660051
287,658353
288,656663
289,654998
290,653343
291,651733
292,650165
293,648593
294,646984
295,645297
296,643625
297,641897
298,640298
299,638770
300,637227
301,635663
302,634061
303,632458
304,630874
305,629329
306,627792
307,626254
308,624745
309,623249
310,621746
311,620238
312,618740
313,617222
314,615783
315,614338
316,612820
317,611354
318,609868
319,608395
320,606916
321,605427
322,603927
323,602396
324,600917
325,599330
326,597840
327,596244
328,594847
329,593297
330,591800
331,590241
332,588684
333,587131
334,585585
335,584081
336,582591
337,581124
338,579611
339,578075
340,576578
341,575117
342,573654
343,572210
344,570777
345,569341
346,567852
347,566418
348,564935
349,563548
350,562172
351,560788
352,559393
353,558018
354,556686
355,555294
356,553910
357,552528
358,551162
359,549860
360,548534
361,547227
362,545943
363,544704
364,543430
365,542166
366,540886
367,539628
368,538357
369,537150
370,535943
371,534751
372,533559
373,532333
374,531112
375,529915
376,528831
377,527730
378,526638
379,525541
380,524430
381,523316
382,522272
383,521282
384,520286
385,519363
386,518415
387,517451
388,516465
389,515542
390,514648
391,513659
392,512838
393,511995
394,511150
395,510337
396,509528
397,508651
398,507783
399,506963
400,506146
401,505373
402,504572
403,503817
404,503094
405,502306
406,501574
407,500812
408,500078
409,499380
410,498690
411,497942
412,497222
413,496486
414,495833
415,495154
416,494523
417,493892
418,493227
419,492560
420,491949
421,491327
422,490743
423,490125
424,489512
425,488938
426,488387
427,487757
428,487173
429,486578
430,485975
431,485398
432,484783
433,484167
434,483598
435,483040
436,482509
437,481964
438,481412
439,480837
440,480393
441,479909
442,479423
443,478897
444,478372
445,477890
446,477385
447,476922
448,476411
449,475931
450,475441
451,474974
452,474497
453,474067
454,473607
455,473184
456,472807
457,472452
458,472104
459,471737
460,471386
461,471055
462,470755
463,470419
464,470131
465,469903
466,469473
467,469268
468,468974
469,468680
470,468409
471,468156
472,467863
473,467571
474,467323
475,467119
476,466856
477,466647
478,466387
479,466201
480,465998
481,465779
482,465602
483,465339
484,465199
485,465103
486,464999
487,464844
488,464717
489,464625
490,464606
491,464590
492,464606
493,464662
494,464712
495,464767
496,464840
497,464913
498,465043
499,465167
500,465346
501,465572
502,465787
503,466116
504,466371
505,466707
506,467041
507,467441
508,467853
509,468326
510,468752
511,469176
512,469552
513,470005
514,470453
515,470914
516,471453
517,472007
518,472517
519,473040
520,473616
521,474148
522,474778
523,475373
524,475993
525,476689
526,477356
527,478100
528,478894
529,479693
530,480538
531,481420
532,482273
533,483184
534,484035
535,484907
536,485777
537,486641
538,487484
539,488322
540,489206
541,490168
